PM2.5,PM10,NO2,SO2,CO,O3,NH3,Temperature,Humidity,WindSpeed,AQI
,158.19,39.53,1.6,1.3,56.19,13.66,23.63,58.76,2.08,354
73.88,125.95,29.45,11.75,1.53,41.64,16.98,26.35,49.95,2.9,244
59.96,86.43,20.35,36.34,1.0,41.29,31.9,27.82,37.35,2.5,182
51.97,93.7,18.03,29.33,1.57,86.14,18.54,29.98,35.73,2.57,218
45.69,86.69,23.01,2.49,1.26,75.59,16.49,26.95,49.24,0.78,210
130.04,176.36,36.23,13.66,0.25,14.4,8.84,34.29,40.32,3.78,361
82.09,171.07,2.0,6.31,0.35,67.43,27.79,43.23,75.49,1.35,250
,71.27,35.52,6.49,2.71,48.58,13.51,19.83,70.17,5.35,213
38.02,57.13,33.51,7.02,1.03,9.47,21.33,25.55,48.85,2.37,144
99.17,187.94,43.52,19.0,1.37,9.34,19.41,21.34,57.62,2.23,336
128.08,220.53,65.89,14.79,1.31,11.34,64.34,20.61,46.99,0.85,412
120.75,211.25,13.47,14.75,1.14,69.06,22.36,24.91,47.51,4.6,381
32.86,46.51,5.88,14.19,3.7,23.32,38.22,19.95,42.15,1.55,159
51.63,104.57,28.18,5.1,1.52,7.26,5.27,31.92,25.22,3.37,174
44.99,83.48,26.47,4.5,0.76,17.45,23.18,42.35,65.27,2.33,184
56.85,80.83,18.41,3.64,2.69,79.67,18.32,26.76,27.48,4.08,220
112.4,183.95,34.29,10.33,0.98,54.8,4.39,23.33,55.47,1.5,372
154.01,312.55,14.36,1.56,1.44,2.61,5.8,16.01,43.83,9.57,430
84.2,152.52,20.43,14.48,1.22,53.09,8.71,23.24,84.45,1.31,299
39.08,54.63,35.44,31.99,2.69,21.97,19.35,30.6,67.21,2.49,189
63.64,104.08,18.71,15.28,1.08,14.87,14.28,28.22,43.03,5.64,209
172.35,261.7,26.53,16.72,0.95,26.77,13.0,20.72,57.41,1.43,500
69.58,122.87,18.82,5.99,1.63,8.6,14.14,30.93,22.79,3.15,228
52.05,107.18,9.63,7.75,2.01,15.56,30.37,20.28,44.21,5.69,189
55.38,93.74,43.09,10.03,2.65,,74.25,29.92,40.56,1.96,240
83.94,141.86,40.42,9.65,1.47,145.71,1.0,30.81,76.04,6.45,336
33.8,71.47,39.52,14.54,2.04,31.56,11.82,27.38,37.6,2.6,167
44.16,80.3,21.76,29.76,2.15,89.31,7.65,36.95,48.72,2.2,191
119.61,216.44,45.46,9.83,0.99,61.46,18.46,20.56,71.38,2.0,381
82.35,126.46,46.87,25.23,0.95,65.38,32.44,42.76,45.53,0.94,298
70.09,129.45,60.53,11.1,0.62,21.63,7.7,16.71,58.07,0.41,251
123.46,224.49,22.08,3.07,0.49,16.82,13.73,17.67,72.23,8.51,349
37.18,61.62,27.85,12.18,0.47,25.89,20.83,14.44,50.36,1.71,156
50.88,111.52,9.57,12.89,0.46,20.19,26.9,23.93,42.45,1.4,186
80.54,168.63,65.8,3.2,1.34,85.46,17.99,10.93,69.8,5.25,305
78.63,155.26,19.15,27.55,0.12,51.81,19.56,27.58,55.87,2.49,272
18.33,32.7,7.26,17.15,2.18,7.78,15.11,27.6,51.47,2.72,122
47.21,81.01,61.72,22.06,0.82,38.29,30.09,21.57,57.93,1.14,217
57.92,84.93,21.43,22.96,0.89,35.91,6.23,24.71,51.45,0.56,186
86.62,136.44,83.31,4.83,0.93,37.31,21.57,25.95,7.97,1.1,361
78.44,156.61,25.18,23.02,1.56,116.28,18.4,26.89,39.53,0.75,316
61.84,105.64,13.07,2.07,1.77,46.11,39.12,23.77,61.23,2.03,216
9.83,20.58,44.21,11.54,0.23,23.44,20.74,24.29,23.03,2.02,102
64.07,91.83,20.4,7.54,1.65,48.79,24.28,28.53,52.66,3.75,209
68.26,119.96,38.49,3.24,0.8,21.19,9.75,19.13,81.5,4.29,222
268.09,504.62,13.75,16.64,0.59,100.45,48.49,23.66,57.55,3.63,500
56.56,99.84,35.51,18.41,0.19,9.74,11.67,34.37,37.02,3.81,217
80.84,169.79,17.84,4.66,0.24,40.61,27.54,20.98,58.88,7.06,288
136.64,299.31,42.2,11.05,0.51,31.38,5.62,19.93,14.08,2.14,442
108.29,152.07,22.97,16.08,0.86,38.47,45.93,18.94,53.32,2.15,303
157.99,223.87,27.81,1.0,0.4,108.46,1.0,21.14,89.67,2.08,440
18.61,26.38,20.09,17.99,2.74,25.85,14.59,32.36,65.82,1.0,113
28.49,54.51,23.73,3.98,0.22,29.22,56.73,32.76,52.79,1.39,113
41.82,68.4,41.67,4.2,0.68,14.82,32.02,32.45,57.29,3.93,176
15.7,30.77,9.39,17.76,1.94,72.3,2.75,30.19,80.29,2.44,137
68.67,114.33,30.38,3.88,1.54,15.34,68.84,29.51,34.07,2.0,266
30.49,56.86,112.1,23.21,0.32,23.19,14.35,33.23,52.31,5.53,207
171.01,340.8,55.88,8.98,2.16,69.75,12.33,23.74,68.9,1.38,500
34.58,62.02,21.76,6.88,1.79,48.43,39.38,32.62,11.47,1.91,179
51.11,91.26,26.66,20.15,0.81,63.12,16.74,35.88,68.13,3.13,192
112.47,155.14,16.87,11.24,0.31,22.89,10.9,15.83,50.38,6.39,271
22.38,37.37,37.56,12.41,0.2,46.43,2.46,24.85,53.63,1.89,141
14.67,26.28,7.4,3.37,0.65,15.18,22.85,24.5,51.85,6.68,49
74.57,127.94,17.82,40.9,0.51,31.79,65.73,26.82,87.96,3.99,279
78.57,165.83,13.07,33.4,2.51,7.09,26.02,30.11,50.46,5.6,279
110.3,233.39,17.4,11.66,0.89,119.68,7.61,41.59,76.25,3.72,358
93.61,190.93,29.26,7.89,1.75,48.72,7.78,17.5,43.88,2.15,311
80.59,131.99,2.0,15.27,0.98,22.71,7.15,18.37,27.74,1.25,170
37.91,73.76,19.42,2.25,0.53,47.77,4.95,32.94,73.95,4.61,120
77.08,127.63,16.19,14.02,1.41,63.5,22.42,29.92,56.99,0.75,273
80.37,121.31,48.3,1.0,0.42,73.43,11.96,23.97,40.03,0.16,267
36.78,59.17,11.01,8.49,2.81,19.25,2.59,24.55,27.69,2.58,148
201.33,274.59,29.61,3.58,0.49,49.48,15.66,26.22,96.72,2.87,500
90.71,145.01,21.81,18.09,3.1,46.51,25.77,30.03,51.44,0.44,339
28.93,49.6,50.75,6.52,2.77,104.06,10.37,31.63,63.77,1.18,215
110.66,239.02,46.05,3.05,1.84,24.13,49.27,33.25,40.8,2.01,412
123.08,194.72,73.35,23.55,1.49,15.81,8.13,36.11,57.62,2.47,387
87.13,184.03,52.0,82.86,1.76,17.93,12.32,33.55,84.36,3.0,340
54.29,81.76,31.2,10.15,0.85,52.8,19.32,25.55,50.6,5.4,165
35.51,52.27,43.87,15.08,1.31,31.85,23.53,17.45,52.02,0.74,169
61.72,109.06,20.23,5.55,1.53,89.88,1.83,21.46,88.32,4.79,248
83.04,158.22,27.07,6.82,0.86,31.64,10.35,12.86,16.3,2.39,274
65.96,88.38,27.98,30.0,1.02,66.65,57.63,42.39,37.96,1.28,251
162.4,243.43,11.55,17.17,1.53,17.11,39.23,35.81,52.7,3.41,480
100.05,171.1,49.52,17.43,0.65,48.69,13.82,23.42,47.06,2.2,345
32.32,51.64,62.73,6.09,1.77,100.5,39.58,31.36,63.02,2.28,198
26.34,51.13,22.06,4.56,0.87,65.94,10.68,25.98,54.84,7.31,91
91.23,160.56,23.4,34.24,1.28,19.55,14.47,32.29,44.12,2.3,324
55.22,79.75,14.37,10.18,0.76,15.1,17.84,30.99,72.47,5.28,165
105.77,222.65,8.5,16.46,2.62,46.31,8.93,26.14,41.92,2.31,368
90.68,141.78,40.56,4.96,0.32,46.97,44.85,28.1,67.69,4.44,259
61.91,121.23,9.07,1.46,0.17,59.03,6.33,23.15,45.03,0.58,211
32.63,65.32,8.59,8.46,2.04,63.75,1.99,30.79,56.95,2.27,146
16.37,35.47,38.78,34.77,2.18,12.87,26.7,14.02,84.57,1.27,102
76.12,133.1,28.28,15.29,1.64,9.32,23.71,30.31,46.61,5.54,235
22.03,40.86,40.72,15.16,0.92,47.73,8.21,16.64,75.04,0.93,117
31.53,50.49,12.89,7.94,0.81,38.18,16.46,26.92,36.31,2.28,107
72.96,139.39,79.66,10.37,0.87,8.72,8.35,27.66,44.49,0.99,264
68.16,117.03,11.22,11.94,1.92,23.91,14.01,28.84,50.76,1.56,221
24.5,41.5,16.18,13.55,1.69,5.29,18.37,21.24,51.51,3.38,123
132.01,273.26,13.37,3.19,0.4,101.01,6.17,21.55,72.57,1.67,426
129.79,174.59,78.13,26.41,1.44,40.04,4.5,30.14,66.91,3.85,414
93.19,195.11,18.04,17.49,0.3,92.16,6.54,23.12,85.34,0.92,332
,192.45,10.4,12.43,0.54,11.34,16.13,33.79,63.71,3.72,334
93.19,163.61,107.37,20.68,0.17,24.61,7.02,26.65,94.68,1.16,363
122.39,213.11,69.85,24.1,2.23,61.25,12.3,27.0,76.72,8.55,417
101.69,165.32,56.58,20.69,0.4,62.72,20.46,26.33,57.84,2.35,349
34.91,76.61,67.2,21.54,0.22,13.49,15.82,29.62,81.5,0.84,185
54.65,76.51,10.79,6.83,0.51,64.99,44.18,26.93,60.69,1.68,155
250.29,458.33,73.43,10.71,3.33,60.35,10.16,29.12,63.83,3.97,500
10.54,20.17,20.89,23.26,0.68,8.07,24.92,39.21,54.01,1.82,69
45.26,96.91,32.12,9.03,0.62,23.57,48.85,38.91,51.7,0.45,206
132.47,265.22,24.34,19.74,1.91,40.34,6.36,31.86,43.07,4.24,428
36.75,69.07,62.34,6.33,1.02,43.16,28.77,13.12,43.83,3.81,189
103.52,145.46,2.0,5.59,1.66,44.72,7.91,21.64,37.3,3.01,305
67.54,110.51,9.39,13.71,0.49,66.8,4.02,27.88,54.95,2.63,204
38.87,55.38,67.12,29.69,0.59,23.89,5.11,22.98,33.87,1.17,165
8.46,17.71,14.57,17.64,2.31,47.74,12.62,29.67,55.76,5.61,92
74.66,147.43,60.79,12.77,2.46,41.91,18.97,27.13,50.65,2.12,282
34.29,67.96,13.95,17.5,2.2,4.8,9.78,26.39,30.15,5.86,128
60.0,113.22,20.26,14.84,1.16,22.02,9.93,25.66,71.3,0.61,229
92.58,162.6,83.88,5.66,1.07,68.71,34.63,18.17,59.0,2.09,351
116.09,166.59,43.6,9.34,0.77,12.43,16.5,25.43,50.8,1.8,345
45.15,72.1,28.67,3.25,1.13,42.34,15.51,35.08,39.99,4.27,128
38.81,55.23,36.51,15.26,1.3,4.82,19.62,28.18,54.06,2.94,168
21.69,42.34,52.15,24.23,1.78,6.63,45.93,33.38,62.93,4.76,137
119.79,173.0,27.43,26.94,1.15,84.68,8.45,28.9,55.7,4.13,361
228.42,441.29,38.68,8.72,0.37,27.57,17.43,31.12,60.03,8.1,500
128.19,246.5,108.81,5.34,0.81,29.88,2.83,35.03,82.22,2.24,465
146.57,251.13,10.04,16.01,0.12,24.19,10.6,22.07,26.26,1.9,401
37.0,52.6,28.45,3.02,2.58,7.1,25.86,34.65,5.0,3.19,157
88.94,140.82,16.81,2.26,0.1,33.67,17.33,10.21,41.51,3.72,263
109.82,174.4,11.77,18.56,2.33,84.4,21.53,24.93,17.14,1.57,354
2.0,5.0,28.21,12.51,1.18,22.14,61.29,42.55,44.44,3.71,78
27.57,38.66,11.99,16.58,1.39,15.54,14.18,26.66,45.23,3.32,87
178.61,365.46,10.45,2.78,1.4,116.71,31.56,35.08,100.0,5.18,500
18.03,35.79,23.08,37.6,0.75,9.98,6.83,29.35,55.92,6.66,90
161.33,236.78,37.87,2.64,0.24,35.56,17.13,30.25,8.76,2.47,418
17.92,34.89,35.75,29.26,1.4,50.69,10.46,18.95,34.73,5.29,138
28.74,54.65,23.45,29.67,1.64,18.19,42.93,26.35,75.54,2.75,168
90.02,177.63,7.35,22.92,0.83,28.28,3.52,21.26,72.54,2.94,287
68.73,101.03,6.93,17.55,0.92,66.64,17.39,34.27,57.01,5.0,230
48.59,70.05,32.89,15.64,0.64,32.54,23.93,35.9,51.27,2.92,194
174.31,263.7,14.93,3.93,0.1,50.05,5.99,24.2,70.11,1.28,454
22.22,36.2,29.67,5.41,0.75,19.69,17.77,25.08,87.1,0.87,98
58.34,117.52,26.83,8.14,3.52,57.51,24.65,35.55,10.79,5.91,276
97.7,191.89,3.78,12.27,2.92,30.99,16.06,15.81,38.51,0.96,299
79.71,170.02,67.97,8.53,1.17,65.46,8.46,35.1,41.12,7.85,330
39.85,53.91,6.84,9.87,2.79,78.57,25.74,27.09,47.11,3.5,176
41.01,53.74,20.73,3.91,0.83,33.1,24.37,28.03,71.28,2.17,124
114.96,221.79,8.24,31.81,1.58,32.03,4.86,27.33,27.54,0.72,386
118.48,183.81,14.63,14.2,0.27,73.05,27.36,39.47,22.55,1.3,372
81.16,129.91,16.15,37.32,1.44,56.25,29.17,26.53,37.45,2.58,298
33.17,59.44,17.48,2.93,1.34,50.92,44.27,18.01,50.58,1.51,153
42.04,58.53,21.2,3.22,0.21,8.85,20.56,26.73,66.19,3.27,125
64.34,120.86,77.9,23.7,1.71,17.41,32.81,25.82,55.93,0.82,291
71.11,113.25,11.35,7.94,0.84,11.27,14.95,25.17,81.09,1.01,239
95.14,177.86,38.83,26.36,0.28,54.41,18.48,35.39,100.0,1.21,331
56.13,115.11,56.29,21.45,0.47,9.18,21.71,28.97,60.01,2.52,227
113.29,164.72,35.98,10.42,0.66,10.48,45.15,31.78,75.59,1.71,314
112.47,240.43,64.31,4.45,0.46,60.95,17.17,2.69,65.57,1.53,395
149.75,266.21,36.23,4.81,2.0,65.16,19.01,26.02,52.2,0.83,466
66.34,141.35,35.46,6.36,0.88,20.14,8.69,24.94,48.32,0.83,245
82.09,122.07,57.4,11.87,0.71,91.77,4.7,36.97,65.57,1.11,325
59.31,109.37,31.91,17.77,0.7,3.45,22.01,36.3,54.16,4.37,221
33.5,55.72,56.49,4.61,1.15,8.77,16.1,34.34,52.02,1.73,145
225.16,449.6,31.83,5.29,1.23,60.35,22.45,25.57,42.54,2.84,500
137.83,254.35,55.8,4.88,2.42,20.57,6.71,20.51,90.01,3.38,436
110.97,193.65,72.99,52.07,2.33,14.64,34.09,23.86,59.18,0.58,439
64.75,137.38,18.68,7.32,0.7,29.01,26.82,26.37,50.65,4.64,249
31.13,51.04,16.51,15.02,0.83,87.3,4.57,28.52,74.38,3.32,150
123.94,185.65,64.21,22.51,1.14,26.46,9.12,28.43,72.18,1.78,398
58.55,108.16,55.06,5.36,0.91,17.14,3.29,27.48,46.04,2.52,204
87.14,162.21,4.49,16.81,1.22,42.75,6.13,27.08,29.69,2.46,263
41.91,71.05,29.95,16.67,0.45,38.77,14.2,34.13,46.44,1.84,173
77.76,135.15,83.44,4.6,0.97,69.93,6.75,28.63,27.95,3.32,310
43.97,95.13,9.35,7.34,1.39,128.53,35.83,23.91,77.85,0.61,198
45.3,88.76,8.14,16.81,0.81,81.63,25.82,29.44,11.49,4.65,173
77.07,107.86,14.22,9.71,1.34,65.11,8.94,32.55,54.36,4.12,252
17.67,26.35,17.69,24.5,1.1,35.58,35.74,41.02,48.46,5.35,111
18.5,40.28,5.41,3.15,0.89,29.79,6.37,23.71,49.81,1.78,51
36.65,71.6,9.46,26.3,1.73,21.89,8.74,21.47,72.69,6.01,143
55.65,118.17,4.9,10.34,1.0,14.38,6.09,29.21,61.54,2.82,191
115.53,181.78,29.23,8.73,1.5,26.89,3.01,20.93,21.95,3.6,325
57.98,114.09,28.78,18.14,0.38,56.33,25.87,28.86,82.01,3.48,205
64.45,125.2,64.6,9.21,2.78,12.48,1.0,37.91,35.02,1.55,298
52.48,82.14,31.02,12.59,0.53,32.72,42.57,20.75,26.82,7.12,232
82.01,147.27,38.32,21.07,1.28,24.93,13.98,25.39,58.63,2.25,301
33.22,61.95,41.26,14.7,0.3,37.14,20.99,27.71,9.25,4.06,149
60.27,104.45,10.94,23.07,1.12,23.18,12.65,31.36,78.49,3.55,204
86.49,176.82,9.75,8.38,0.44,37.26,29.38,21.9,19.05,4.64,303
76.65,157.09,8.42,14.89,1.39,29.35,28.99,38.25,48.93,1.38,231
65.94,136.2,17.64,33.08,1.32,,22.33,31.83,44.33,1.25,269
66.51,134.56,16.45,2.33,1.89,28.61,4.4,29.48,73.83,2.96,249
92.16,160.29,26.41,15.55,1.18,67.7,21.27,24.14,71.17,2.88,319
231.86,381.01,43.54,20.02,1.09,21.79,1.94,14.22,31.85,1.43,500
35.08,71.85,38.27,30.8,0.39,40.51,28.37,22.31,80.63,1.28,182
235.96,410.84,16.33,15.23,1.56,154.96,14.82,27.94,28.87,2.56,500
33.8,51.44,13.97,16.87,1.97,42.21,1.0,34.14,50.58,1.56,151
7.31,12.84,15.52,6.54,0.65,,9.61,34.47,57.08,0.58,44
43.28,61.79,17.28,27.34,0.6,31.84,41.19,30.95,68.21,3.0,193
83.08,159.71,6.41,18.42,1.94,18.91,20.29,23.12,76.81,6.28,267
202.38,324.28,31.34,6.29,0.57,53.12,10.19,48.0,52.97,2.6,500
31.1,47.73,83.75,5.6,1.76,45.09,5.42,24.1,23.97,8.23,202
91.79,198.35,25.34,9.34,1.16,22.23,7.08,36.75,42.73,4.98,298
20.35,40.69,26.23,11.94,1.35,56.67,20.08,28.47,29.25,4.55,90
197.87,397.4,34.74,10.86,0.87,37.72,7.52,22.27,55.19,2.58,500
139.52,259.69,9.23,11.29,2.87,8.84,7.15,27.66,48.43,2.25,417
45.37,93.24,14.36,9.16,1.9,27.23,6.53,23.92,85.18,0.83,200
153.81,305.05,15.68,11.25,0.38,112.3,44.18,13.44,74.48,1.92,474
60.01,110.35,8.83,23.61,1.35,23.42,7.33,27.75,90.9,7.4,223
144.2,312.19,72.44,18.21,0.48,23.45,2.6,22.84,69.11,5.51,495
65.58,96.57,42.67,2.77,0.53,69.56,29.86,12.7,57.78,1.09,209
67.61,145.29,44.85,25.39,0.55,2.06,16.18,7.91,57.92,3.61,234
46.09,76.57,19.01,15.19,1.27,33.27,12.9,24.8,43.59,0.84,188
99.87,177.33,27.83,4.52,3.24,33.21,32.33,15.77,43.37,3.93,333
71.26,100.5,17.71,12.58,1.73,54.87,9.71,20.12,47.64,0.97,224
,166.38,20.99,6.25,0.55,20.12,5.96,19.45,87.02,2.53,269
16.01,29.61,26.34,6.27,2.73,30.82,17.14,39.28,38.71,1.69,133
147.45,324.1,22.0,9.15,1.97,40.99,7.25,31.48,68.67,2.26,472
171.12,372.64,26.09,25.24,0.62,50.21,23.08,24.97,28.96,4.65,500
71.02,154.1,5.61,7.29,0.94,25.02,10.91,24.72,51.03,1.36,233
221.72,357.76,9.4,18.98,2.13,107.35,18.63,24.95,53.22,4.31,500
190.35,417.28,17.65,46.23,2.51,2.9,19.87,24.35,60.41,2.12,500
,173.23,20.24,62.04,0.75,21.56,10.78,28.91,65.78,2.16,325
155.07,320.47,20.23,9.46,0.19,33.1,9.59,21.05,44.68,4.24,493
130.14,194.52,37.44,3.85,1.8,40.74,19.17,17.88,70.23,2.75,396
12.16,21.34,30.08,16.06,1.94,79.32,11.79,33.98,37.35,0.71,127
53.28,115.58,33.49,18.24,0.12,53.2,39.34,20.64,41.8,3.2,220
106.0,228.15,15.47,24.1,1.12,13.7,20.49,31.32,43.47,1.72,316
,341.42,10.84,16.04,3.57,45.24,21.64,20.12,48.71,3.86,500
19.07,38.47,21.6,3.43,1.59,82.62,31.92,32.29,43.42,0.64,126
13.04,19.02,40.56,1.03,0.75,35.99,53.76,23.91,31.01,2.23,92
62.71,122.26,70.4,26.8,1.19,80.64,20.73,24.38,67.42,3.67,293
7.95,14.76,15.87,21.86,0.87,3.63,15.75,31.46,35.0,1.98,51
61.16,84.55,70.28,4.73,0.16,55.2,4.59,35.75,71.77,3.86,228
84.48,118.43,9.8,4.49,0.58,71.63,6.21,29.71,71.17,3.66,246
29.91,41.8,6.13,39.08,1.32,25.96,25.55,27.85,24.37,5.3,140
62.38,121.76,19.75,24.29,0.63,8.04,6.31,21.73,65.39,0.32,215
122.48,174.84,10.88,9.24,0.35,63.46,45.89,26.64,54.34,2.65,348
43.12,74.2,13.86,5.56,1.4,13.58,12.58,28.24,33.99,4.47,171
34.28,55.58,47.72,8.99,3.21,24.5,46.05,32.98,48.47,5.14,202
60.35,108.35,44.61,7.31,0.67,65.7,15.09,31.6,66.27,6.37,222
27.28,52.81,30.14,18.34,0.98,46.58,7.45,30.38,78.92,4.37,133
211.52,405.32,28.41,14.0,0.47,187.35,8.85,17.03,35.9,2.09,500
67.03,118.25,13.66,6.57,0.97,34.14,15.9,37.12,72.0,2.61,238
37.26,64.01,21.82,19.53,0.61,42.63,6.84,21.47,47.81,4.29,143
76.11,126.19,19.05,5.89,1.1,63.12,41.76,24.79,15.81,4.16,241
60.11,124.77,7.6,6.78,0.68,13.57,7.9,24.6,100.0,2.21,181
55.33,88.4,78.74,9.96,2.88,31.29,18.35,24.25,96.51,2.23,276
43.11,66.1,19.47,24.59,2.83,11.61,10.33,22.6,44.82,1.2,181
41.49,81.68,10.12,6.09,0.66,9.0,25.18,30.94,60.31,4.83,116
16.36,26.57,6.87,21.48,1.17,73.36,59.28,22.49,87.36,2.1,87
154.92,319.48,35.01,38.87,0.53,36.77,24.2,14.46,38.79,3.19,500
96.96,154.67,74.31,7.66,1.8,38.35,36.74,35.48,71.02,2.59,341
81.38,157.2,90.48,22.82,1.67,48.94,6.12,31.11,80.18,7.98,341
59.41,79.64,22.94,26.52,0.77,16.35,18.88,23.0,86.7,2.54,204
29.46,48.53,19.48,65.84,1.01,62.85,10.47,19.85,56.0,1.49,145
35.43,57.0,26.62,16.63,0.98,46.71,13.74,40.6,12.94,2.2,140
18.19,37.02,26.17,10.31,0.56,50.39,2.18,25.35,90.49,4.79,86
39.04,84.72,3.75,33.0,0.58,17.06,54.74,35.59,45.55,0.56,178
,44.69,17.61,19.82,1.5,42.1,16.93,24.35,,3.87,132
183.78,375.34,31.53,18.64,1.53,57.39,13.33,32.53,35.27,6.92,500
117.21,226.19,36.3,16.98,2.72,27.45,23.14,11.43,5.0,3.18,387
69.1,150.0,38.23,40.22,0.1,33.1,23.28,6.88,57.68,3.51,314
32.2,65.36,25.9,7.33,0.43,32.44,7.14,35.68,45.43,1.29,120
27.23,37.29,9.7,23.09,3.15,25.41,102.77,32.38,51.11,0.78,135
56.65,110.01,22.48,17.05,1.52,44.48,32.72,31.1,62.1,8.77,211
120.38,214.52,57.99,28.02,0.33,32.71,6.73,25.53,34.0,7.21,384
18.68,24.56,33.23,6.92,0.82,25.86,18.46,43.0,55.17,3.81,96
96.12,146.7,20.13,3.8,1.18,107.41,14.81,17.54,43.6,2.1,325
38.9,82.84,95.95,40.14,0.33,33.85,29.08,33.84,87.22,1.8,273
44.7,95.36,26.93,2.09,1.79,13.51,2.62,28.71,40.76,1.01,203
67.68,136.65,22.21,6.39,0.72,42.16,19.34,19.8,5.0,2.37,198
33.11,72.3,40.59,2.75,0.68,40.77,13.3,36.5,98.5,7.78,155
54.56,110.53,8.83,25.03,2.34,43.98,4.51,31.29,84.42,1.45,219
30.83,40.37,19.45,4.86,0.75,108.51,21.27,29.25,73.22,1.72,142
41.45,64.63,22.6,15.51,1.9,4.11,8.3,28.34,71.53,1.55,163
108.52,144.07,5.23,4.82,1.16,59.67,25.53,23.75,61.36,2.14,323
70.2,97.2,28.82,3.52,1.81,20.72,24.53,27.37,34.44,6.04,225
108.25,162.05,36.17,38.07,0.91,31.64,19.72,28.8,67.07,0.92,329
38.49,67.49,16.24,19.75,1.2,11.97,11.03,40.77,21.03,4.97,146
96.59,199.25,42.03,8.71,2.42,63.95,22.0,16.15,39.6,2.53,314
14.32,29.72,52.21,12.91,1.3,34.05,31.09,16.79,25.92,2.9,148
67.66,125.48,56.69,3.64,0.53,46.94,18.68,25.39,15.08,0.61,249
100.88,215.4,10.0,45.91,0.75,83.07,9.76,20.22,44.49,2.92,372
13.74,24.04,28.01,6.17,1.75,15.17,21.84,19.57,30.74,2.92,95
38.86,81.61,38.97,21.51,0.74,46.4,5.78,35.13,75.96,0.64,180
67.63,115.55,27.94,2.89,0.3,137.87,12.6,29.44,62.91,0.59,265
126.23,195.6,49.71,14.16,1.17,76.17,8.09,27.23,40.26,2.38,419
41.45,88.07,29.67,17.22,0.59,16.11,63.68,22.42,42.35,1.96,168
94.08,155.16,9.71,11.55,1.09,90.5,16.17,30.93,88.24,1.82,294
161.35,282.87,50.33,21.03,0.73,37.44,1.47,27.26,30.26,2.18,494
97.0,154.8,27.29,8.9,1.33,103.86,12.1,24.14,23.58,3.48,336
56.1,106.39,71.85,6.44,3.15,69.07,2.76,35.35,63.78,3.92,270
84.74,186.04,9.77,12.05,3.58,30.85,11.79,38.24,57.12,4.9,294
40.5,53.58,27.67,3.87,0.79,68.88,28.39,34.9,64.94,3.98,203
69.56,146.77,68.31,4.02,1.09,9.77,7.33,31.53,27.03,0.67,263
58.17,75.82,30.15,6.21,1.23,17.4,16.66,28.89,44.61,2.34,187
82.84,134.85,43.77,34.02,0.56,64.15,14.26,17.13,27.11,1.96,314
47.55,69.03,53.51,10.73,0.24,12.2,28.79,29.84,78.89,5.4,182
86.07,170.56,26.45,49.39,2.47,31.42,12.17,18.22,35.08,8.93,302
47.2,63.51,12.68,10.04,2.07,47.35,46.28,31.74,48.65,2.49,206
116.47,209.43,47.69,6.49,0.29,49.94,18.43,28.82,65.6,1.2,387
50.95,79.76,22.86,36.94,2.34,77.57,10.46,20.59,67.11,1.65,253
8.3,11.79,3.49,6.2,1.16,23.87,2.48,32.85,28.67,2.03,25
28.01,55.87,60.0,9.75,1.22,70.79,34.37,17.06,85.37,1.42,173
